
here is the system stat while the mongodum script running

Device name	vm-01-c-prod
Processor	AMD EPYC 7763 64-Core Processor                   2.44 GHz
Installed RAM	64.0 GB
Device ID	8A5101F6-84A3-4729-820A-3F8003AADA8D
Product ID	00454-60000-00001-AA965
System type	64-bit operating system, x64-based processor
Pen and touch	No pen or touch input is available for this display

Network utilization

Image	PID	Address	Send (B/sec)	Receive (B/sec)	Total (B/sec)
svchost.exe (LocalSystemNetworkRestricted -p)	2156	Host Process for Windows Services	Running	2	0	0.00
svchost.exe (netsvcs -p)	2216	Host Process for Windows Services	Running	2	0	0.00
svchost.exe (netsvcs -p)	2752	Host Process for Windows Services	Running	2	0	0.00
svchost.exe (LocalServiceNoNetwork -p)	3724	Host Process for Windows Services	Running	2	0	0.00
svchost.exe (netsvcs -p)	3764	Host Process for Windows Services	Running	2	0	0.00
svchost.exe (LocalSystemNetworkRestricted -p)	3780	Host Process for Windows Services	Running	2	0	0.00
svchost.exe (LocalServiceNoNetwork -p)	6808	Host Process for Windows Services	Running	1	0	0.00
SenseCE.exe	5692	Windows Defender Advanced Threat Protection Sense CE module	Running	2	0	0.00
SenseCE.exe	6460	Windows Defender Advanced Threat Protection Sense CE module	Running	2	0	0.00
svchost.exe (netsvcs -p)	9236	Host Process for Windows Services	Running	2	0	0.00
svchost.exe (netsvcs -p)	10700	Host Process for Windows Services	Running	2	0	0.00
WaSecAgentProv.exe	16340	refs/heads/master security-dsms-client (70078aa3) Microsoft® Azure SecAgent	Running	2	0	0.00
conhost.exe	16940	Console Window Host	Running	2	0	0.00
RuntimeBroker.exe	10128	Runtime Broker	Running	1	0	0.00
conhost.exe	8228	Console Window Host	Running	2	0	0.00
python.exe	14044	Python	Running	2	0	0.00
conhost.exe	11804	Console Window Host	Running	2	0	0.00
RuntimeBroker.exe	9268	Runtime Broker	Running	2	0	0.00
conhost.exe	14264	Console Window Host	Running	2	0	0.00
conhost.exe	5156	Console Window Host	Running	2	0	0.00
wininit.exe	888		Running	1	0	0.00
LsaIso.exe	1140	Credential Guard & VBS Key Isolation	Running	1	0	0.00
svchost.exe (LocalSystemNetworkRestricted -p)	1608	Host Process for Windows Services	Running	1	0	0.00
svchost.exe (LocalServiceNetworkRestricted -p)	1656	Host Process for Windows Services	Running	1	0	0.00
svchost.exe (NetSvcs)	3496	Host Process for Windows Services	Running	1	0	0.00
AggregatorHost.exe	4744	AggregatorHost.exe	Running	1	0	0.00
svchost.exe (LocalService -p)	6584	Host Process for Windows Services	Running	1	0	0.00
svchost.exe (appmodel -p)	6564	Host Process for Windows Services	Running	1	0	0.00
svchost.exe (LocalService -p)	11888	Host Process for Windows Services	Running	1	0	0.00
pet.exe	15060	pet.exe	Running	1	0	0.00
bash.exe	16844	Git for Windows	Running	1	0	0.00
bash.exe	9172	Git for Windows	Running	1	0	0.00
pet.exe	13400	pet.exe	Running	1	0	0.00
bash.exe	6184	Git for Windows	Running	1	0	0.00
bash.exe	4956	Git for Windows	Running	1	0	0.00
Secure System	168		Suspended	-	0	0.00
